Unnamed: 0,id,full_text,screen_name,state,stance,med,date,week,wave,desensitized_text,masked_prediction,prediction
11362,1465801964319653889,"Story: Members of the panel voted 13-10 in favor of the treatment, called molnupiravir, for use in adults with mild to moderate Covid-19 who are at risk for severe disease or hospitalization. ",BerkeleyJr,New York,2,False,2021-11-30,97,3,"Story: Members of the panel voted 13-10 in favor of the treatment, called molnupiravir, for use in adults with mild to moderate Covid-19 who are at risk for severe disease or hospitalization.",2,2
8565,1456612170830163972,"The results appear to surpass those seen with Merck &amp; Co Inc’s pill, molnupiravir, which was shown last month to halve the likelihood of dying or being hospitalized for COVID-19 patients also at high risk of serious illness.
 ",ken_crichlow,New York,2,False,2021-11-05,94,3,"The results appear to surpass those seen with Merck &amp; Co Inc’s pill, molnupiravir, which was shown last month to halve the likelihood of dying or being hospitalized for COVID-19 patients also at high risk of serious illness.",2,2
11827,1465814222219223048,FDA advisers narrowly endorse Merck's COVID-19 antiviral pill ,ktdonnelly,Illinois,2,False,2021-11-30,97,3,FDA advisers narrowly endorse Merck's COVID-19 antiviral pill,2,2
9009,1447581530252001285,"An investigational oral antiviral medication for COVID-19, molnupiravir, significantly reduced the risk of hospitalization or death by about 50%.  #molnupiravir #antiviral #COVID19",SpecialtyPharm,New York,2,False,2021-10-11,90,3,"An investigational oral antiviral medication for COVID-19, molnupiravir, significantly reduced the risk of hospitalization or death by about 50%. @USER @USER @USER",2,2
555,1450264709375037441,"Rick Bright thought he was protecting Americans from a bad drug. Instead, he caused thousands of extra deaths from Covid by delaying molnupiravir. 

Who Slowed Merck’s Covid Remedy? by @AllysiaFinley ",mileskimball,Colorado,2,False,2021-10-19,91,3,"Rick Bright thought he was protecting Americans from a bad drug. Instead, he caused thousands of extra deaths from Covid by delaying molnupiravir. Who Slowed Merck’s Covid Remedy? by @USER",1,2
4988,1440445634834624517,"""Molnupiravir - an antiviral oral medication to treat COVID at the first sign of symptoms. Phase 3 trial results are expected next week."" ",BaDaPa,Maine,0,False,2021-09-21,87,3,"""Molnupiravir - an antiviral oral medication to treat COVID at the first sign of symptoms. Phase 3 trial results are expected next week.""",2,0
16597,1465526275896864768,"#Molnupiravir showed early promise in cutting risk of severe covid and death by 50% among high-risk patients, but latest findings Merck presented to the FDA, the pill only reduced hospitalization and death only by 30%. The #vaccine does this by 95%+ ",GirlFuturist,Idaho,2,False,2021-11-30,97,3,"@USER showed early promise in cutting risk of severe covid and death by 50% among high-risk patients, but latest findings Merck presented to the FDA, the pill only reduced hospitalization and death only by 30%. The @USER does this by 95%+",2,2
15501,1445205882598477829,"Coronavirus latest: Australia to buy 300,000 doses of Merck's antiviral pill

#COVID19 #coronavirus #vaccine",NikkeiAsia,New York,0,False,2021-10-05,89,3,"Coronavirus latest: Australia to buy 300,000 doses of Merck's antiviral pill @USER @USER @USER",0,0
15547,1445863410541875210,"CORRUPTION

A FIVE-DAY COURSE of molnupiravir, the new medicine being hailed as a “huge advance” in the treatment of Covid-19, costs $17.74 to produce. Merck is charging the U.S. government $712 for the same amount of medicine, or 40 times the price. ",HiDesertgolf,California,2,False,2021-10-06,90,3,"CORRUPTION A FIVE-DAY COURSE of molnupiravir, the new medicine being hailed as a “huge advance” in the treatment of Covid-19, costs $17.74 to produce. Merck is charging the U.S. government $712 for the same amount of medicine, or 40 times the price.",0,2
4501,1444109592628187136,"How many people will jump on the #molnupiravir pill that cuts risk of COVID19 death by half instead of the vaccine which cuts risk by 95%?

#COVID19 #VaccinesWork #Merck",NBTiller,California,2,False,2021-10-02,89,3,How many people will jump on the @USER pill that cuts risk of COVID19 death by half instead of the vaccine which cuts risk by 95%? @USER @USER @USER,2,2
